Date,Open,High,Low,Close,Adj Close,Volume,24h Open (USD),24h High (USD),24h Low (USD),Gas Fee (Wei),Circulating Marketcap,Volatility,Hash Rate,Average Difficulty,Total Fees,Average Transaction Fees
2018-06-22,527.19397,527.19397,456.877014,465.816986,465.816986,2226030080,525.714434,525.714589,449.946758,38878511772,52081899211,1.032571981,230.965773,3.43E+15,241844.3562,0.272484104
2018-06-23,466.273987,479.128998,462.393005,474.519989,474.519989,1651379968,462.163454,481.805235,457.919506,14029394940,45777177838,0.987078495,232.7957069,3.39E+15,319617.5686,0.363551701
2018-06-24,474.768005,475.359009,426.468994,457.671997,457.671997,2490579968,475.147399,476.853981,421.291382,16163435399,46981835556,0.979431661,235.215011,3.45E+15,198535.4572,0.221980605
2018-06-25,455.936005,470.343994,448.895996,460.309998,460.309998,4007950080,455.170773,472.979748,445.559133,15637044897,45113162756,0.978086832,222.789893,3.40E+15,242936.0431,0.273651818
2018-06-26,460.733002,461.213013,432.772003,432.772003,432.772003,1356560000,458.525558,460.850798,429.380835,12011100131,45487079919,0.99621295,223.716137,3.36E+15,248174.1148,0.282939128
2018-06-27,432.243988,444.243011,424.838989,442.36499,442.36499,1368940032,430.099879,445.770448,420.4373,12446563365,42588410078,1.001364484,235.988325,3.49E+15,191161.6793,0.229346495
2018-06-28,442.290009,443.618011,419.683014,422.36499,422.36499,1360790016,441.500444,443.196281,417.146041,11696277117,43797682326,0.955751625,227.192114,3.41E+15,159650.5986,0.203242445
2018-06-29,422.587006,441.792999,407.946991,436.009003,436.009003,1564499968,420.007238,441.675233,404.617978,12115784768,41684047649,0.875247139,225.3884675,3.38E+15,153683.9864,0.198549144
2018-06-30,436.209015,458.796997,436.209015,455.179993,455.179993,1475939968,434.76644,462.397219,434.75725,34210516007,43178454756,0.891142981,235.7986703,3.47E+15,126469.6902,0.160151262
2018-07-01,455.242004,457.139008,446.38501,453.917999,453.917999,1511730048,453.232127,455.863633,444.762563,59842298209,45019097121,0.878698099,227.0948073,3.36E+15,111200.0442,0.145171666
2018-07-02,453.824005,479.130005,447.110992,475.346985,475.346985,1625789952,451.613125,481.827066,443.639786,86348485003,44854965790,0.902323553,232.8146439,3.39E+15,145126.5304,0.175456248
2018-07-03,475.385986,483.854004,462.582001,464.195007,464.195007,1683939968,476.253124,486.437153,459.780237,82063750329,47328497978,0.9012938,232.365533,3.46E+15,263995.4661,0.293504725
2018-07-04,464.151001,481.436005,455.184998,467.317993,467.317993,1549769984,461.560371,482.692238,451.399088,59083789609,45875413664,0.882807432,232.2499103,3.44E+15,210719.1671,0.234684961
2018-07-05,467.286987,483.225006,464.628998,474.411987,474.411987,1828610048,466.712948,478.069593,458.452491,48722316331,46411370416,0.874332502,239.3304722,3.56E+15,118035.3282,0.140777513
2018-07-06,474.356995,479.652008,457.61499,474.011993,474.011993,1627609984,467.498544,474.855012,451.967757,70207114167,46439999640,0.866576819,237.5881811,3.51E+15,128092.0222,0.152274237
2018-07-07,474.057007,491.660004,466.835999,491.660004,491.660004,1358360064,469.087147,486.433516,462.039343,60236707195,46701437313,0.877599911,237.5513395,3.53E+15,125281.1239,0.156220812
2018-07-08,492.067993,503.199005,488.416992,489.118988,489.118988,1344560000,484.554681,494.754748,482.084913,35585852337,48298537687,0.877916751,227.7150527,3.45E+15,110192.2021,0.139079062
2018-07-09,488.877991,490.85199,475.174988,476.682007,476.682007,1533799936,486.074367,487.744433,469.096317,25829787141,48313575676,0.881570043,239.472362,3.53E+15,124393.652,0.146897288
2018-07-10,476.161987,478.317993,433.959991,434.424011,434.424011,1789069952,471.019731,472.931076,428.03,21324119980,46880832475,0.916560537,234.2151861,3.50E+15,128700.2899,0.155736637
2018-07-11,434.515015,447.31601,429.506989,446.518005,446.518005,1422470016,432.689252,446.811047,425.394398,19054597794,43027400267,0.848445101,230.4528007,3.36E+15,120090.2108,0.151913124
2018-07-12,446.502014,446.502014,422.809998,430.074005,430.074005,1495440000,444.932123,445.411153,418.237983,29189063475,44315563087,0.850212938,238.7686877,3.44E+15,119572.8918,0.147082821
2018-07-13,430.740997,442.363007,430.740997,434.027008,434.027008,1489670016,429.993845,441.582269,425.161385,29846792155,42880417322,0.8221722,237.4185314,3.45E+15,113227.3288,0.136601976
2018-07-14,434.510986,439.43399,431.473999,436.085999,436.085999,1235820032,432.260914,439.113038,428.742387,57677945355,43031468083,0.8146009,238.0466142,3.42E+15,93005.68702,0.125399517
2018-07-15,435.882996,454.001007,433.92099,449.850006,449.850006,1350160000,433.697973,454.004618,431.293477,48216188725,43212965322,0.758238442,240.4015808,3.42E+15,109910.5572,0.140351185
2018-07-16,450.424988,480.65799,446.798004,480.65799,480.65799,1858680064,449.049078,479.648507,444.348769,18562899613,44754622360,0.767942344,233.3296326,3.45E+15,90948.03341,0.115763135
2018-07-17,480.076996,508.779999,468.915009,501.002014,501.002014,2288100096,478.764271,511.337418,466.199286,17548648323,47666540102,0.778798376,235.3296517,3.45E+15,120012.1696,0.151849939
2018-07-18,500.838013,513.432983,474.359009,480.513,480.513,2371559936,499.018653,515.283474,469.227272,15413432909,49700864119,0.790745757,231.8462356,3.48E+15,75436.81327,0.095230225
2018-07-19,480.627991,483.23999,465.141998,469.618988,469.618988,2068739968,478.81,483.260331,463.005232,13033482562,47707496726,0.778576197,230.2994307,3.43E+15,83528.06486,0.10261786
2018-07-20,469.307007,469.307007,443.692993,450.697998,450.697998,1821350016,468.310072,468.537418,440.973693,15878840129,46691743042,0.775455562,231.64016,3.43E+15,77945.72373,0.104722686
2018-07-21,450.678986,468.083008,445.776001,462.436005,462.436005,1504310016,448.543734,467.852967,442.139607,15826395751,44723250686,0.783135744,224.63832,3.24E+15,59088.5008,0.087083107
2018-07-22,462.437988,470.89801,458.118988,459.657013,459.657013,1338589952,461.5,471.243158,454.897612,11032570831,45945480319,0.781717881,231.3797874,3.35E+15,63223.40831,0.092904146
2018-07-23,459.438995,469.765991,449.727997,450.852997,450.852997,1596999936,457.074191,469.244194,446.939757,15546838989,45618962464,0.669792022,238.5721669,3.52E+15,81990.04229,0.109958844
2018-07-24,451.135986,481.141998,450.565002,479.372986,479.372986,2287520000,449.177075,483.640947,448.396991,15414715967,44813016435,0.701166058,230.5503555,3.43E+15,83483.11991,0.114753114
2018-07-25,479.906006,482.868011,466.473999,472.493011,472.493011,1930780032,479.396345,484.346457,463.807542,13351179160,47725909735,0.689558932,237.388042,3.48E+15,88594.79598,0.106712047
2018-07-26,472.330994,483.696014,461.424011,464.036987,464.036987,1621560064,470.937969,483.929081,459.922139,12324821471,47085557581,0.693203847,239.016674,3.53E+15,95567.33735,0.121979263
2018-07-27,464.009003,473.221985,458.290985,469.665985,469.665985,1734259968,462.11,473.269336,456.270432,10745209264,46099102243,0.659109335,239.5864481,3.50E+15,108823.1778,0.141090597
2018-07-28,469.678009,471.593994,462.989014,466.89801,466.89801,1531890048,469.383167,470.960805,461.217825,11542424148,46894592317,0.653356118,245.8981939,3.54E+15,50386.24282,0.082062151
2018-07-29,466.915009,470.355988,462.712006,466.665009,466.665009,1631910016,468.292264,471.272517,462.207131,9257167474,46792701661,0.630546059,247.4457002,3.56E+15,52499.96303,0.083872187
2018-07-30,466.826996,467.951996,448.640991,457.080994,457.080994,2141590000,466.23891,468.782468,446.176564,10934695303,46546026411,0.636471437,245.9493464,3.56E+15,68940.47862,0.095394525
2018-07-31,457.244995,457.244995,430.444,433.867004,433.867004,1820680000,456.436895,457.100449,427.366764,11023798202,45592299904,0.647135696,241.8491672,3.53E+15,73624.22514,0.102177249
2018-08-01,433.868988,435.457001,410.463989,420.747009,420.747009,1888060000,431.770894,434.425926,407.917756,36681296496,43157012214,0.65367042,238.5198436,3.52E+15,62184.64874,0.091045405
2018-08-02,420.806,425.033997,410.30899,412.621002,412.621002,1569300000,419.642929,424.221752,407.64,10200915813,41947147650,0.627339238,240.8284077,3.55E+15,66831.08874,0.091330618
2018-08-03,412.566986,420.549011,399.910004,418.261993,418.261993,1722340000,410.750565,419.772981,397.791791,10514159674,41054213406,0.624153864,238.1129691,3.48E+15,60260.72206,0.083232582
